Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label,ACK,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,5.800E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,
Firmware,V1.21,
Time,07-Mar-23 20:09:59,
Mode,Detail,
Waveform Data,
-7.584000e-01,-2.20e-01,
-7.580000e-01,-1.60e-01,
-7.576000e-01,-2.00e-01,
-7.572000e-01,-1.80e-01,
-7.568000e-01,-1.80e-01,
-7.564000e-01,-1.20e-01,
-7.560000e-01,-1.60e-01,
-7.556000e-01,-1.00e-01,
-7.552000e-01,-8.00e-02,
-7.548000e-01,-1.20e-01,
-7.544000e-01,-6.00e-02,
-7.540000e-01,-4.00e-02,
-7.536000e-01,-8.00e-02,
-7.532000e-01,-6.00e-02,
-7.528000e-01,-2.00e-02,
-7.524000e-01,-4.00e-02,
-7.520000e-01,0.00e+00,
-7.516000e-01,4.00e-02,
-7.512000e-01,0.00e+00,
-7.508000e-01,2.00e-02,
-7.504000e-01,6.00e-02,
-7.500000e-01,4.00e-02,
-7.496000e-01,8.00e-02,
-7.492000e-01,6.00e-02,
-7.488000e-01,1.20e-01,
-7.484000e-01,1.00e-01,
-7.480000e-01,1.40e-01,
-7.476000e-01,1.20e-01,
-7.472000e-01,1.80e-01,
-7.468000e-01,1.60e-01,
-7.464000e-01,2.20e-01,
-7.460000e-01,1.80e-01,
-7.456000e-01,2.40e-01,
-7.452000e-01,2.20e-01,
-7.448000e-01,2.80e-01,
-7.444000e-01,3.00e-01,
-7.440000e-01,2.60e-01,
-7.436000e-01,3.40e-01,
-7.432000e-01,3.00e-01,
-7.428000e-01,3.20e-01,
-7.424000e-01,3.80e-01,
-7.420000e-01,4.00e-01,
-7.416000e-01,3.60e-01,
-7.412000e-01,3.80e-01,
-7.408000e-01,4.40e-01,
-7.404000e-01,4.20e-01,
-7.400000e-01,4.60e-01,
-7.396000e-01,4.40e-01,
-7.392000e-01,4.80e-01,
-7.388000e-01,5.00e-01,
-7.384000e-01,4.80e-01,
-7.380000e-01,5.40e-01,
-7.376000e-01,5.00e-01,
-7.372000e-01,5.00e-01,
-7.368000e-01,5.60e-01,
-7.364000e-01,5.80e-01,
-7.360000e-01,5.40e-01,
-7.356000e-01,6.00e-01,
-7.352000e-01,5.60e-01,
-7.348000e-01,6.20e-01,
-7.344000e-01,6.20e-01,
-7.340000e-01,5.80e-01,
-7.336000e-01,6.20e-01,
-7.332000e-01,6.00e-01,
-7.328000e-01,6.00e-01,
-7.324000e-01,6.40e-01,
-7.320000e-01,6.40e-01,
-7.316000e-01,6.60e-01,
-7.312000e-01,6.20e-01,
-7.308000e-01,6.60e-01,
-7.304000e-01,6.40e-01,
-7.300000e-01,6.60e-01,
-7.296000e-01,6.80e-01,
-7.292000e-01,6.40e-01,
-7.288000e-01,6.40e-01,
-7.284000e-01,6.80e-01,
-7.280000e-01,7.00e-01,
-7.276000e-01,6.60e-01,
-7.272000e-01,6.80e-01,
-7.268000e-01,6.60e-01,
-7.264000e-01,7.00e-01,
-7.260000e-01,6.60e-01,
-7.256000e-01,6.80e-01,
-7.252000e-01,6.60e-01,
-7.248000e-01,7.00e-01,
-7.244000e-01,7.00e-01,
-7.240000e-01,6.60e-01,
-7.236000e-01,7.00e-01,
-7.232000e-01,6.60e-01,
-7.228000e-01,7.00e-01,
-7.224000e-01,7.00e-01,
-7.220000e-01,6.60e-01,
-7.216000e-01,7.00e-01,
-7.212000e-01,6.60e-01,
-7.208000e-01,6.80e-01,
-7.204000e-01,6.60e-01,
-7.200000e-01,6.80e-01,
-7.196000e-01,6.60e-01,
-7.192000e-01,6.80e-01,
-7.188000e-01,6.60e-01,
-7.184000e-01,6.80e-01,
-7.180000e-01,6.40e-01,
-7.176000e-01,6.80e-01,
-7.172000e-01,6.40e-01,
-7.168000e-01,6.80e-01,
-7.164000e-01,6.40e-01,
-7.160000e-01,6.60e-01,
-7.156000e-01,6.40e-01,
-7.152000e-01,6.60e-01,
-7.148000e-01,6.20e-01,
-7.144000e-01,6.60e-01,
-7.140000e-01,6.20e-01,
-7.136000e-01,6.40e-01,
-7.132000e-01,6.20e-01,
-7.128000e-01,6.40e-01,
-7.124000e-01,6.00e-01,
-7.120000e-01,6.20e-01,
-7.116000e-01,5.80e-01,
-7.112000e-01,6.20e-01,
-7.108000e-01,5.60e-01,
-7.104000e-01,5.80e-01,
-7.100000e-01,5.80e-01,
-7.096000e-01,5.40e-01,
-7.092000e-01,5.60e-01,
-7.088000e-01,5.40e-01,
-7.084000e-01,5.60e-01,
-7.080000e-01,5.00e-01,
-7.076000e-01,5.40e-01,
-7.072000e-01,5.20e-01,
-7.068000e-01,4.80e-01,
-7.064000e-01,5.00e-01,
